# sresa2_ncar-pcm1_2_Prcp,,,,,,,,,,,,,,
,Arizona/New Mexico Mountains,Arizona/New Mexico Plateau,Central Basin and Range,Chihuahuan Deserts,Colorado Plateaus,High Plains,Mojave Basin and Range,Northern Basin and Range,Northwestern Great Plains,Sonoran Basin and Range,Southern Rockies,Southwestern Tablelands,Wasatch and Uinta Mountains,Wyoming Basin
TIMESTEP,MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d)
1958-08-15T00:00:00Z,0.8037656,0.5780526,0.13706727,1.6331339,0.15491778,1.1628841,0.123263896,1.0970578,0.55963457,0.25630382,0.7210484,1.2905654,0.28392705,0.46665755
1958-09-15T00:00:00Z,1.0340114,0.7959261,0.66529816,1.563376,0.62967575,0.9480995,0.48504966,1.8979707,0.93619156,0.25375795,1.7280465,1.6385674,0.80195916,0.8214273
1958-10-15T00:00:00Z,0.50204617,0.44723302,0.563827,0.41689745,0.88335615,1.7784092,0.24612775,1.4219927,4.0200505,0.35754067,1.74608,0.37251195,1.4653417,1.9929584
1958-11-15T00:00:00Z,1.1529251,0.89069325,1.9387547,0.6161015,1.0402246,0.73019433,1.0823542,1.9873903,1.1493037,1.4997232,2.0355597,0.6941967,2.474238,1.692486
1958-12-15T00:00:00Z,0.8049816,0.5940285,0.86524755,0.25305244,0.57495505,0.52241373,0.5837881,1.2159377,0.9898987,0.88702065,1.269249,0.18566091,1.4179971,1.0491982
1959-01-16T00:00:00Z,0.39557445,0.276188,0.84433025,0.20510255,0.43252832,0.31420577,0.60038275,1.4408705,0.5607581,0.40376088,0.9371471,0.12858884,1.2229806,0.7978408
1959-02-16T00:00:00Z,0.5566852,0.42474523,1.4895167,0.021882022,0.6198407,0.4024711,0.9095475,2.2874293,0.8935791,1.0929416,1.1016008,0.047366086,2.0359173,1.3391318
1959-03-15T00:00:00Z,1.5355369,1.0827391,3.7007039,0.4875447,1.2908541,0.7868546,2.6612718,2.0301552,1.6256647,1.9128776,1.7757831,0.5503858,3.1328156,1.7219039
1959-04-15T00:00:00Z,0.4272409,0.3671089,1.3791125,0.088440955,0.77407855,1.4943194,0.6315012,2.3580415,2.0312836,0.38079295,1.7152187,0.2131741,2.1668415,1.8893919
1959-05-15T00:00:00Z,0.85496116,0.78455293,1.6015601,0.23607257,1.2326388,1.8001734,0.94301504,1.8694048,1.2439389,0.692238,1.8511639,0.4248668,2.0974116,1.7363604
1959-06-15T00:00:00Z,0.44307637,0.3346923,0.02737663,1.4682797,0.20784163,1.9547611,0.004621455,0.7977072,1.9387115,0.0082846,1.5945857,2.0582452,0.2151633,0.8098676
1959-07-15T00:00:00Z,1.5021596,1.1026121,0.5005558,1.7059615,0.57249814,1.6699313,0.3914849,0.8130551,1.6281847,0.63388705,1.4207944,1.6956341,0.7440238,0.970623
1959-08-15T00:00:00Z,1.9336655,1.4787782,0.7020305,3.1680162,0.7955024,1.7013747,0.5118526,1.1033077,0.94758224,0.66308016,2.2704308,3.092022,0.8252778,0.98508203
1959-09-15T00:00:00Z,0.7197008,0.49968654,0.7120976,1.0730368,0.3947602,0.8783857,0.61128676,1.5564542,0.7379022,0.8934172,0.5920958,0.89049613,1.187248,1.1914684
1959-10-15T00:00:00Z,0.8037416,0.74181354,1.2002901,0.8537745,1.4054853,1.4283595,0.4502277,1.1623755,0.9668129,0.14937744,2.6115077,0.70944256,1.9846776,1.9187162
1959-11-15T00:00:00Z,0.7008492,0.569322,0.8430582,0.33055347,0.6638659,0.40240052,0.3977845,1.0743765,0.7930418,0.50500613,1.6121168,0.46298584,1.215897,0.9154304
1959-12-15T00:00:00Z,1.727557,1.243814,1.1456437,0.87763155,0.79006463,0.49787837,0.9722562,1.9695574,0.8459032,1.8429418,1.9659035,0.8745301,1.7008357,1.089658
1960-01-16T00:00:00Z,1.8653702,1.3201776,1.9750069,0.81949687,1.6330866,0.73604405,1.4075136,3.130767,1.1246952,1.865099,3.3821764,0.7736092,3.3610857,2.2639449
1960-02-16T00:00:00Z,1.5494422,1.108035,2.9100113,0.47560242,1.361713,0.5117008,1.9598784,2.1718338,1.0560591,2.3147364,2.3392527,0.47457698,3.0978985,1.7810849
